X,Y,Z
1, 2, 40
1, 2, 40
1, 3, 40
1, 3, 39
1, 3, 39
1, 3, 38
1, 3, 38
1, 3, 38
2, 3, 37
2, 3, 37
2, 3, 36
2, 4, 36
2, 4, 36
2, 4, 35
2, 4, 35
2, 4, 35
2, 4, 34
2, 5, 34
2, 5, 33
2, 5, 33
3, 5, 33
3, 5, 32
3, 6, 32
3, 6, 32
3, 6, 32
3, 6, 31
3, 7, 31
3, 7, 31
3, 7, 30
4, 7, 30
4, 8, 30
4, 8, 29
4, 8, 29
4, 9, 29
4, 9, 29
5, 9, 28
5, 10, 28
5, 10, 28
5, 11, 28
5, 11, 27
6, 11, 27
6, 12, 27
6, 12, 27
6, 13, 27
7, 13, 26
7, 14, 26
7, 14, 26
7, 15, 26
8, 16, 26
8, 16, 26
8, 17, 25
9, 18, 25
9, 18, 25
9, 19, 25
10, 20, 25
10, 20, 25
11, 21, 25
11, 22, 25
11, 23, 25
12, 24, 25
12, 25, 25
13, 26, 25
13, 27, 25
14, 28, 25
14, 29, 25
15, 30, 25
16, 31, 26
16, 33, 26
17, 34, 26
17, 35, 26
18, 37, 27
19, 38, 27
20, 39, 28
20, 41, 28
21, 42, 29
22, 44, 29
23, 46, 30
24, 47, 31
25, 49, 31
26, 51, 32
27, 53, 33
28, 54, 34
29, 56, 35
30, 58, 37
31, 60, 38
32, 62, 40
33, 64, 41
34, 66, 43
36, 69, 45
37, 71, 47
38, 73, 49
40, 75, 51
41, 77, 53
42, 79, 56
44, 81, 59
45, 83, 62
47, 85, 65
48, 87, 68
50, 88, 71
51, 90, 75
53, 91, 79
54, 93, 83
56, 94, 87
57, 95, 91
59, 96, 96
60, 96, 100
62, 97, 105
63, 97, 110
64, 96, 114
66, 96, 119
67, 95, 124
68, 94, 129
69, 92, 134
70, 90, 139
71, 88, 144
71, 85, 149
72, 82, 153
72, 79, 157
72, 76, 161
73, 72, 165
73, 68, 168
72, 63, 172
72, 59, 174
71, 54, 177
71, 49, 179
70, 45, 180
69, 40, 181
68, 35, 182
67, 30, 183
65, 25, 183
64, 20, 183
62, 16, 182
60, 11, 181
58, 7, 180
56, 3, 178
54, 0, 177
52, -4, 175
50, -7, 173
48, -10, 171
45, -13, 169
43, -15, 166
41, -18, 164
